codigo,descripcion,tarifa1
73010011649,ACOPLAMIENTO BAJO PTA.CS-59_LC2,0
73009160627,ACOPLAM.TE APER.INT.CS-59_AOC,0
73009160626,HOJA APER.INT.98mm.CS-59_AOC,0
73009160125,MARCO BALCONERA 71mm.CS-59_AOC,0
73009160114,TE TRANSVERSAL 96mm.CS-59_AOC,0
73009011649,ACOPLAMIENTO BAJO PTA.CS-59_AOC,0
73008160817,ZOCALO CENTRAL 151mm.CS-59_INOX,0
73008160628,ACOPLAM.TE APER.EXT.CS-59_INOX,0
73008160627,ACOPLAM.TE APER.INT.CS-59_INOX,0
73008160626,HOJA APER.INT.98mm.CS-59_INOX,0
73008160625,MARCO PUERTA 73mm.CS-59_INOX,0
73008160614,HOJA APER.EXT.98mm.CS-59_INOX,0
73008160125,MARCO BALCONERA 71mm.CS-59_INOX,0
73008160114,TE TRANSVERSAL 96mm.CS-59_INOX,0
73008051034,REMATE BAJO PTA.CS-59_INOX,0
73008011649,ACOPLAMIENTO BAJO PTA.CS-59_INOX,0
73007160817,ZOCALO CENTRAL 151mm.CS-59_LMD,0
73007160628,ACOPLAM.TE APER.EXT.CS-59_LMD,0
73007160626,HOJA APER.INT.98mm.CS-59_LMD,0
73007160625,MARCO PUERTA 73mm.CS-59_LMD,0
73007160614,HOJA APER.EXT.98mm.CS-59_LMD,0
73007160125,MARCO BALCONERA 71mm.CS-59_LMD,0
73007160114,TE TRANSVERSAL 96mm.CS-59_LMD,0
73007051034,REMATE BAJO PTA.CS-59_LMD,0
73006160626,HOJA APER.INT.98mm.CS-59_LC1,0
73006160625,MARCO PUERTA 73mm.CS-59_LC1,0
73006160614,HOJA APER.EXT.98mm.CS-59_LC1,0
73006160125,MARCO BALCONERA 71mm.CS-59_LC1,0
73006011649,ACOPLAMIENTO BAJO PTA.CS-59_LC1,0
73005160628,ACOPLAM.TE APER.EXT.CS-59_LBN,0
73005160626,HOJA APER.INT.98mm.CS-59_LBN,0
73005160625,MARCO PUERTA 73mm.CS-59_LBN,0
73005160614,HOJA APER.EXT.98mm.CS-59_LBN,0
73005160125,MARCO BALCONERA 71mm.CS-59_LBN,0
73005160114,TE TRANSVERSAL 96mm.CS-59_LBN,0
73005051034,REMATE BAJO PTA.CS-59_LBN,0
73005011649,ACOPLAMIENTO BAJO PTA.CS-59_LBN,0
73002160628,ACOPLAM.TE APER.EXT.CS-59_PEB,0
73002160626,HOJA APER.INT.98mm.CS-59_PEB,0
73002160625,MARCO PUERTA 73mm.CS-59_PEB,0
73002160614,HOJA APER.EXT.98mm.CS-59_PEB,0
73002160125,MARCO BALCONERA 71mm.CS-59_PEB,0
73002160114,TE TRANSVERSAL 96mm.CS-59_PEB,0
73002011649,ACOPLAMIENTO BAJO PTA.CS-59_PEB,0
73001160817,ZOCALO CENTRAL 151mm.CS-59_PMD,0
73001160626,HOJA APER.INT.98mm.CS-59_PMD,0
73001160625,MARCO PUERTA 73mm.CS-59_PMD,0
73001160614,HOJA APER.EXT.98mm.CS-59_PMD,0
73001160125,MARCO BALCONERA 71mm.CS-59_PMD,0
73001160114,TE TRANSVERSAL 96mm.CS-59_PMD,0
73001011649,ACOPLAMIENTO BAJO PTA.CS-59_PMD,0
73000160817,ZOCALO CENTRAL 151mm.CS-59_CSA,0
73000160628,ACOPLAM.TE APER.EXT.CS-59_CSA,0
